64, 558, 3287
512, 856, 3331
4096, 1709, 4165
32768, 9180, 11624
262144, 72194, 66823
2097152, 556331, 524665
16777216, 4444166, 4191825
134217728, 35195805, 33742819
1073741824, 280712692, 269717557
